iter	RMSE
0	73416.68876
1	68854.28682
2	64697.99193
3	61287.56001
4	58236.11923
5	55564.61839
6	52906.63002
7	50539.43928
8	48429.06335
9	46145.20496
10	44209.60441
11	42644.95172
12	41148.07222
13	39763.69132
14	38592.12974
15	37460.26918
16	36349.84709
17	35307.9816
18	34191.94409
19	33339.73429
20	32477.29037
21	31742.49905
22	31053.03002
23	30291.21931
24	29591.31906
25	28849.23863
26	28248.22074
27	27632.51701
28	27104.27058
29	26638.75623
30	26171.70066
31	25738.65036
32	25442.74032
33	24986.31428
34	24539.01897
35	24285.28212
36	24015.24663
37	23722.26252
38	23408.1641
39	23117.47276
40	23020.0653
41	22760.83406
42	22481.81275
43	22245.3366
44	22045.92036
45	21864.35555
46	21687.69084
47	21453.78618
48	21330.41081
49	21191.77178
50	20993.95328
51	20839.27019
52	20659.28907
53	20521.21521
54	20387.69277
55	20225.04054
56	20125.8116
57	20099.08035
58	19907.897
59	19840.34266
60	19703.49365
61	19637.06298
62	19546.88051
63	19429.38327
64	19354.40839
65	19261.03419
66	19086.95098
67	18947.78442
68	18865.89695
69	18738.85618
70	18638.17756
71	18530.84011
72	18443.32168
73	18361.87377
74	18285.22153
75	18182.83906
76	18101.19564
77	18027.99775
78	17893.28969
79	17795.9409
80	17708.37057
81	17648.61392
82	17558.64762
83	17520.10621
84	17430.64221
85	17312.07124
86	17253.67411
87	17165.8434
88	17111.31823
89	17026.85631
90	16912.17284
91	16867.08034
92	16773.80424
93	16718.65361
94	16617.31987
95	16511.63696
96	16445.09322
97	16357.19998
98	16249.05602
99	16212.66371
100	16106.89323
101	15981.57546
102	15885.71901
103	15837.49689
104	15781.59611
105	15679.41211
106	15647.10127
107	15582.35158
108	15559.09559
109	15432.44019
110	15349.07589
111	15253.94702
112	15170.51581
113	15142.38283
114	15066.13407
115	14979.48407
116	14950.16618
117	14862.79511
118	14816.43561
119	14707.87031
120	14616.82314
121	14550.8797
122	14529.29384
123	14477.3875
124	14461.61276
125	14379.24875
126	14306.88574
127	14214.29154
128	14126.91742
129	14069.79425
130	13984.16113
131	13931.36237
132	13883.57584
133	13839.49826
134	13750.589
135	13676.36006
136	13631.19028
137	13611.67156
138	13579.15261
139	13496.46399
140	13421.112
141	13352.69547
142	13267.81692
143	13242.58495
144	13170.08476
145	13094.36061
146	13002.73694
147	12944.04257
148	12871.10955
149	12800.4401
150	12768.53071
151	12746.58154
152	12702.2426
153	12611.39487
154	12523.77692
155	12457.94378
156	12388.39817
157	12324.57749
158	12250.86887
159	12245.30504
160	12179.50988
161	12107.46326
162	12100.13084
163	12050.88974
164	12015.33287
165	11944.26021
166	11859.20112
167	11805.38623
168	11800.68886
169	11760.91889
170	11722.57939
171	11717.92087
172	11686.62847
173	11673.53557
174	11609.57238
175	11577.77391
176	11521.19998
177	11468.09503
178	11412.8315
179	11388.2354
180	11345.0956
181	11297.69589
182	11253.56737
183	11249.28238
184	11189.52134
185	11165.16622
186	11133.1227
187	11088.87642
188	11042.38795
189	11039.13539
190	10980.95544
191	10907.4206
192	10871.2559
193	10831.69737
194	10787.00627
195	10715.87591
196	10660.70862
197	10623.77145
198	10567.23738
199	10540.40625
200	10506.62192
201	10466.01545
202	10428.00953
203	10399.06337
204	10349.12899
205	10321.80246
206	10277.19255
207	10244.29077
208	10222.77172
209	10190.975
210	10166.39749
211	10135.28533
212	10097.56863
213	10051.57952
214	10031.1898
215	9986.040506
216	9944.481167
217	9897.623928
218	9867.404657
219	9817.243811
220	9778.220177
221	9753.647888
222	9737.222319
223	9715.309367
224	9678.921209
225	9647.422399
226	9618.470386
227	9615.454956
228	9586.896269
229	9538.346929
230	9521.535482
231	9481.845101
232	9436.732176
233	9400.365308
234	9363.417335
235	9331.915755
236	9298.764176
237	9248.873954
238	9200.153415
239	9168.564315
240	9114.762388
241	9082.186197
242	9034.462619
243	9005.843582
244	8988.700459
245	8986.084722
246	8952.607836
247	8929.890968
248	8875.634692
249	8845.827471
250	8822.180587
251	8788.114302
252	8765.713604
253	8737.83436
254	8721.101395
255	8684.410827
256	8629.046426
257	8595.252941
258	8587.676965
259	8547.390924
260	8502.112813
261	8479.627657
262	8460.308726
263	8423.670704
264	8409.143958
265	8381.664767
266	8338.615071
267	8314.523317
268	8278.068783
269	8238.256475
270	8176.785572
271	8157.684831
272	8131.441406
273	8100.779316
274	8069.638578
275	8064.053789
276	8036.844345
277	8002.893428
278	7971.998187
279	7947.308359
280	7920.486391
281	7917.485539
282	7894.735575
283	7892.561435
284	7866.15512
285	7839.178344
286	7822.888249
287	7796.130697
288	7766.249871
289	7729.771578
290	7712.68524
291	7678.877115
292	7658.880552
293	7630.757211
294	7590.325923
295	7573.93012
296	7550.188874
297	7510.71957
298	7471.534327
299	7443.759907
300	7421.756078
301	7393.28957
302	7358.493744
303	7329.791738
304	7306.112616
305	7287.531852
306	7257.145615
307	7237.192833
308	7215.953059
309	7186.883092
310	7155.32141
311	7126.404671
312	7091.804889
313	7059.547408
314	7033.282284
315	7005.858814
316	6983.175443
317	6959.932447
318	6933.128732
319	6902.960041
320	6887.926673
321	6869.968376
322	6856.966685
323	6813.081766
324	6779.525639
325	6754.967564
326	6739.55204
327	6711.917872
328	6686.044363
329	6669.839364
330	6653.992815
331	6620.658206
332	6595.69198
333	6575.319078
334	6555.493267
335	6530.191851
336	6515.276814
337	6492.511522
338	6466.032609
339	6437.771159
340	6416.469796
341	6399.924697
342	6388.041826
343	6365.319084
344	6346.011926
345	6324.269222
346	6307.620342
347	6285.472202
348	6268.333162
349	6245.039709
350	6223.130291
351	6221.971856
352	6203.965388
353	6182.116072
354	6161.067047
355	6151.078719
356	6134.070976
357	6110.952487
358	6094.848665
359	6091.950759
360	6091.269814
361	6070.197657
362	6049.272734
363	6037.902593
364	6011.903689
365	5998.828721
366	5972.351853
367	5952.756189
368	5938.35954
369	5922.818016
370	5914.408493
371	5905.179155
372	5900.038693
373	5882.472393
374	5857.772257
375	5834.206847
376	5815.920663
377	5815.132178
378	5792.548087
379	5773.512306
380	5754.124386
381	5739.78911
382	5728.135999
383	5727.243783
384	5710.629292
385	5690.860389
386	5661.98674
387	5661.235694
388	5660.567853
389	5659.31739
390	5636.491724
391	5617.678228
392	5599.87989
393	5579.074602
394	5556.542733
395	5528.397529
396	5512.108619
397	5489.111717
398	5477.817296
399	5463.671695
400	5450.435054
401	5430.227785
402	5414.482395
403	5396.4924
404	5381.041273
405	5370.009892
406	5354.947579
407	5343.263731
408	5321.330378
409	5308.653187
410	5280.375174
411	5276.399562
412	5255.401913
413	5236.469416
414	5228.509198
415	5216.697027
416	5204.761226
417	5174.960595
418	5162.86983
419	5155.043608
420	5142.557288
421	5132.279281
422	5118.131204
423	5105.840052
424	5097.815071
425	5089.098552
426	5078.909421
427	5064.892505
428	5045.384371
429	5022.768893
430	5011.096335
431	5000.348854
432	4980.049776
433	4965.160089
434	4949.003129
435	4947.982473
436	4943.795334
437	4943.154797
438	4927.283616
439	4923.160908
440	4904.61901
441	4890.326203
442	4872.723196
443	4857.836671
444	4847.092134
445	4833.727481
446	4821.995327
447	4812.111375
448	4805.500775
449	4800.081245
450	4792.213948
451	4778.972421
452	4773.304724
453	4759.096941
454	4742.41212
455	4734.746984
456	4715.187846
457	4698.544357
458	4697.932874
459	4684.735414
460	4683.820416
461	4669.581541
462	4656.190423
463	4647.319538
464	4646.775789
465	4631.704499
466	4630.27961
467	4617.371011
468	4613.747323
469	4612.968949
470	4600.843167
471	4591.281917
472	4569.978092
473	4556.78557
474	4548.593022
475	4534.813393
476	4528.318279
477	4524.188143
478	4503.83857
479	4492.91763
480	4482.136974
481	4460.315645
482	4452.20217
483	4427.59738
484	4417.57026
485	4402.290173
486	4393.403614
487	4383.907096
488	4371.839761
489	4361.856143
490	4355.217634
491	4345.24157
492	4337.347063
493	4322.614975
494	4306.398023
495	4297.001115
496	4289.222313
497	4280.585718
498	4264.642146
499	4255.29841
