iter	Passed	Remaining
0	4	2254
1	5	1461
2	7	1178
3	8	1112
4	10	1006
5	11	932
6	12	881
7	14	889
8	15	852
9	17	853
10	18	826
11	19	802
12	20	782
13	22	765
14	23	756
15	24	749
16	25	736
17	27	727
18	28	718
19	29	710
20	30	702
21	32	714
22	34	711
23	35	704
24	36	699
25	38	692
26	39	686
27	40	684
28	41	679
29	43	674
30	44	668
31	45	665
32	46	662
33	48	661
34	49	658
35	50	655
36	52	652
37	53	647
38	54	643
39	55	640
40	56	636
41	57	632
42	59	630
43	61	633
44	62	629
45	63	625
46	64	622
47	65	621
48	67	617
49	68	614
50	69	611
51	70	607
52	71	606
53	73	604
54	74	601
55	75	598
56	76	596
57	77	593
58	78	588
59	79	585
60	81	584
61	82	581
62	83	579
63	84	576
64	85	574
65	86	571
66	88	568
67	89	566
68	90	563
69	91	561
70	92	558
71	93	556
72	94	555
73	96	553
74	97	550
75	98	549
76	99	547
77	100	545
78	102	547
79	103	545
80	105	544
81	106	542
82	107	540
83	108	537
84	109	535
85	110	533
86	112	531
87	113	530
88	115	531
89	116	529
90	117	527
91	118	526
92	119	524
93	121	522
94	122	521
95	123	519
96	124	517
97	125	515
98	126	513
99	128	512
100	129	510
101	130	510
102	132	510
103	133	509
104	135	508
105	136	506
106	137	504
107	138	503
108	139	501
109	141	500
110	142	498
111	143	497
112	144	495
113	146	494
114	147	493
115	148	492
116	150	491
117	151	490
118	152	488
119	153	486
120	154	484
121	156	483
122	157	482
123	158	480
124	159	478
125	160	477
126	162	475
127	163	474
128	164	473
129	165	471
130	166	470
131	168	468
132	169	467
133	170	465
134	171	464
135	173	463
136	174	462
137	175	460
138	176	459
139	178	458
140	179	456
141	180	455
142	181	453
143	183	452
144	184	451
145	185	449
146	186	448
147	187	446
148	189	445
149	190	443
150	191	442
151	192	440
152	193	439
153	195	438
154	196	436
155	197	435
156	198	433
157	199	432
158	200	430
159	202	429
160	203	427
161	204	426
162	205	425
163	206	423
